,TotalOdo,ACPressure,EngineWaterTemp,ExternalTemperatureAD_Voltage,IBS_V_Batt,IBS_I_Batt,IBS_T_Batt,IBS_I_Range,IBS_SOC,IBS_SOF_Q,IBS_SOC_Accuracy,IBS_SOF_Q_Accuracy,IBS_SOH_Q,IBS_SOF_V,IBS_SOH_Q_Accuracy,IBS_SOF_V_Accuracy,IBS_Q_received,IBS_Q_released,IBS_Tm_Lst_Reset_Days,IBS_R_Batt,IBS_R_Batt_25,IBS_SOF_t_Accuracy,IBS_PreWakeupVoltage,IBS_SOF_t,IBS_IBATT_QUIESCENT,IBS_SOF_V1,score
76,2621,108,77,77,11111,11111,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,248,255,125,9.10060509972498
77,2621,110,77,77,11093,11093,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,248,255,125,9.104083614059022
78,2621,111,77,77,11091,11091,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,248,255,125,9.106294172353799
79,2621,112,77,77,11127,11127,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,248,255,125,9.111063222484965
80,2621,113,77,77,11124,11124,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,248,255,125,9.113206452047205
81,2621,113,77,77,11118,11118,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,248,255,125,9.112802479651986
82,2621,113,77,77,11082,11082,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,253,255,125,9.11629580504398
83,2621,113,77,77,11125,11125,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,253,255,125,9.119190940543056
84,2621,114,77,77,11124,11124,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,253,255,125,9.12146882757037
85,2621,114,77,77,11128,11128,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,253,255,125,9.121738142500517
86,2621,114,77,77,11116,11116,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,253,255,125,9.120930197710077
87,2621,115,78,77,11116,11116,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,253,255,125,9.126233993351583
88,2621,115,78,77,11102,11102,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,253,255,125,9.12529139109607
89,2621,117,78,77,11092,11092,74,1,99,106,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,253,255,125,9.132869788851659
90,2621,118,78,77,11093,11093,74,1,99,106,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,253,255,125,9.135282333344044
91,2621,120,78,77,11078,11078,74,1,99,106,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,253,255,125,9.138962833875695
92,2621,121,78,78,11074,11074,74,1,99,106,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,258,255,125,9.15164632598841
93,2621,122,78,77,11078,11078,74,1,99,106,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,258,255,125,9.149570425158709
94,2621,122,78,78,11063,11063,74,1,99,106,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,258,255,125,9.15325092569036
95,2621,123,78,78,11065,11065,74,1,99,106,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,258,255,125,9.15573079891528
96,2621,123,78,78,11078,11078,74,1,99,106,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,258,255,125,9.156606072438258
97,2621,123,78,78,11081,11081,74,1,99,106,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,258,255,125,9.156808058635868
98,2621,122,79,78,11069,11069,74,1,99,106,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,258,255,125,9.156613477967234
99,2621,122,79,78,11088,11088,74,1,99,106,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,258,255,125,9.157892723885432
100,2621,122,79,78,11101,11101,74,1,99,106,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,258,255,125,9.158767997408408
101,2621,121,79,78,11102,11102,74,1,99,106,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,258,255,125,9.156490110381094
102,2621,121,79,78,11101,11101,74,1,99,106,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,262,255,125,9.16115650945921
